FE16216129,PS96,SD1,0.6270502
FE16216130,PS96,SD2,0.621788
FE16216131,PS96,SD3,0.6163133
FE16216132,PS96,SD4,0.6292174
FE16216133,PS96,SD5,0.6362752
FE16216134,PS96,SD6,0.62948
FE16216135,PS96,SD7,0.6278821
FE16216136,PS96,SD8,0.6219638
FE16216137,PS96,SD9,0.6276935
FE16216138,PS96,SD10,0.6422226
FE16216139,PS96,SD11,0.6211953
FE16216140,PS96,SD12,0.6285731
FE16216141,PS96,SD13,0.619062
FE16216142,PS96,SD14,0.6255558
FE16216143,PS96,SD15,0.6187928
FE16216144,PS96,SD16,0.6326588
FE16216145,PS96,SD17,0.6350276
FE16216146,PS96,SD18,0.6248935
FE16216147,PS96,SD19,0.6258914
FE16216148,PS96,SD20,0.624766
FE16216149,PS96,SD21,0.6217275
FE16216150,PS96,SD22,0.6270733
FE16216151,PS96,SD23,0.6265679
FE16216152,PS96,SD24,0.6289336
FE16216153,PS96,SD25,0.6299191
FE16216154,PS96,SD26,0.6263433
FE16216155,PS96,SD27,0.6237381
FE16216156,PS96,SD28,0.6285853
FE16216157,PS96,SD29,0.6166012
FE16216158,PS96,SD30,0.634134
FE16216159,PS96,SD31,0.6308662
FE16216160,PS96,SD32,0.636697
FE16216161,PS96,SD33,0.634913
FE16216162,PS96,SD34,0.6269553
FE16216163,PS96,SD35,0.6257342
FE16216164,PS96,SD36,0.6367655
FE16216165,PS96,SD37,0.6339081
FE16216166,PS96,SD38,0.6428657
FE16216167,PS96,SD39,0.6554743
FE16216168,PS96,SD40,0.6498281
FE16216169,PS96,SD41,0.6441786
FE16216170,PS96,SD42,0.6509548
FE16216171,PS96,SD43,0.6413356
FE16216172,PS96,SD44,0.6451885
FE16216173,PS96,SD45,0.6400505
FE16216174,PS96,SD46,0.6514877
FE16216175,PS96,SD47,0.639759
FE16216176,PS96,SD48,0.6513533
FE16216177,PS96,SD49,0.6446375
FE16216178,PS96,SD50,0.6527132
FE16216179,PS96,SD51,0.6423729
FE16216180,PS96,SD52,0.6320888
FE16216181,PS96,SD53,0.6411358
FE16216182,PS96,SD54,0.6333458
FE16216183,PS96,SD55,0.6297636
FE16216184,PS96,SD56,0.6192052
FE16216185,PS96,SD57,0.6159709
FE16216186,PS96,SD58,0.609133
FE16216187,PS96,SD59,0.6101469
FE16216188,PS96,SD60,0.6102169
FE16216189,PS96,SD61,0.6036812
FE16216190,PS96,SD62,0.6165076
FE16216191,PS96,SD63,0.619023
FE16216192,PS96,SD64,0.6134231
FE16216193,PS96,SD65,0.6282613
FE16216194,PS96,SD66,0.6170906
FE16216195,PS96,SD67,0.619907
FE16216196,PS96,SD68,0.6221872
FE16216197,PS96,SD69,0.6283509
FE16216198,PS96,SD70,0.6268566
FE16216199,PS96,SD71,0.6286791
FE16216200,PS96,SD72,0.6205155
FE16216201,PS96,SD73,0.6114363
FE16216202,PS96,SD74,0.6056187
FE16216203,PS96,SD75,0.6256669
FE16216204,PS96,SD76,0.6072908
FE16216205,PS96,SD77,0.6081434
FE16216206,PS96,SD78,0.6048708
FE16216207,PS96,SD79,0.6059177
FE16216208,PS96,SD80,0.6033327
FE16216209,PS96,SD81,0.6084241
FE16216210,PS96,SD82,0.6305285
FE16216211,PS96,SD83,0.6067359
FE16216212,PS96,SD84,0.6134257
FE16216213,PS96,SD85,0.6339974
FE16216214,PS96,SD86,0.6318661
FE16216215,PS96,SD87,0.6257365
FE16216216,PS96,SD88,0.6103755
FE16216217,PS96,SD89,0.6125257
FE16216218,PS96,SD90,0.6272764
FE16216219,PS96,SD91,0.6224447
FE16216220,PS96,SD92,0.63319
FE16216221,PS96,SD93,0.6284556
FE16216222,PS96,SD94,0.6335246
FE16216223,PS96,SD95,0.6301989
FE16216224,PS96,SD96,0.623931
FE16216225,PS96,SD1,0.6275068
FE16216226,PS96,SD2,0.6330914
FE16216227,PS96,SD3,0.6258283
FE16216228,PS96,SD4,0.6187167
FE16216229,PS96,SD5,0.6280631
